state,district,geoname_id
Rajasthan,Jodhpur,1268865
Rajasthan,Karauli,1267819
Rajasthan,Kota,1266049
Rajasthan,Nagaur,1262216
Rajasthan,Pali,1260716
Rajasthan,Phalodi,1259813
Rajasthan,Pratapgarh,1259338
Rajasthan,Rajsamand,1258797
Rajasthan,Salumbar,1257588
Rajasthan,Sawai Madhopur,1256949
Rajasthan,Sikar,1256320
Rajasthan,Sirohi,1256067
Rajasthan,Tonk,1254241
Rajasthan,Udaipur,1253986
Sikkim,Gangtok,1271631
Sikkim,Mangan,1263776
Sikkim,Namchi,1262029
Tamil Nadu,Ariyalur,1278405
Tamil Nadu,Chennai,1264527
Tamil Nadu,Coimbatore,1273865
Tamil Nadu,Cuddalore,1273802
Tamil Nadu,Dharmapuri,1272847
Tamil Nadu,Dindigul,1272543
Tamil Nadu,Erode,1272013
Tamil Nadu,Kanchipuram,1268159
Tamil Nadu,Karur,1267648
Tamil Nadu,Krishnagiri,1265863
Tamil Nadu,Madurai,1264521
Tamil Nadu,Mayiladuthurai,1263247
Tamil Nadu,Namakkal,1262039
Tamil Nadu,Perambalur,1259896
Tamil Nadu,Pudukkottai,1259297
Tamil Nadu,Ramanathapuram,1258740
Tamil Nadu,Salem,1257629
Tamil Nadu,Sivaganga,1255953
Tamil Nadu,Tiruppur,1254348
Tamil Nadu,Tiruchirappalli,1254388
Tamil Nadu,Tirunelveli,1254361
Tamil Nadu,Thoothukudi,8629640
Tamil Nadu,Tiruvallur,1254331
Tamil Nadu,Tiruvannamalai,1254327
Tamil Nadu,Vellore,1253286
Telangana,Adilabad,1279344
Telangana,Hyderabad,1269843
Telangana,Jagtial,1269562
Telangana,Jangaon,1269256
Telangana,Karimnagar,1267755
Telangana,Khammam,1267076
Telangana,Mahbubnagar,1264407
Telangana,Medak,1263230
Telangana,Nalgonda,1262067
Telangana,Narayanpet,1261823
Telangana,Nirmal,1261288
Telangana,Nizamabad,1261258
Telangana,Peddapalli,1259961
Telangana,Siddipet,1256377
Telangana,Vikarabad,1253182
Telangana,Warangal,1252948
Uttar Pradesh,Agra,1279259
Uttar Pradesh,Aligarh,1279017
Uttar Pradesh,Amethi,1278806
Uttar Pradesh,Amroha,1278708
Uttar Pradesh,Auraiya,1278152
Uttar Pradesh,Azamgarh,1278083
Uttar Pradesh,Balrampur,1277525
Uttar Pradesh,Banda,1277397
Uttar Pradesh,Bareilly,1277013
Uttar Pradesh,Basti,1276736
Uttar Pradesh,Bhadohi,1276335
Uttar Pradesh,Bijnor,1275679
Uttar Pradesh,Budaun,1275163
Uttar Pradesh,Bulandshahr,1275120
Uttar Pradesh,Chandauli,1274770
Uttar Pradesh,Deoria,1273193
Uttar Pradesh,Etawah,1271987
Uttar Pradesh,Farrukhabad,1271942
Uttar Pradesh,Fatehpur,1271911
Uttar Pradesh,Firozabad,1271885
Uttar Pradesh,Ghaziabad,1271308
Uttar Pradesh,Ghazipur,1271306
Uttar Pradesh,Gorakhpur,1270927
Uttar Pradesh,Hamirpur,1270455
Uttar Pradesh,Hapur,1270393
Uttar Pradesh,Hardoi,1270370
Uttar Pradesh,Hathras,1270216
Uttar Pradesh,Jalaun,1269422
Uttar Pradesh,Jaunpur,1269135
Uttar Pradesh,Jhansi,1269006
Uttar Pradesh,Kannauj,1268011
Uttar Pradesh,Kasganj,1267588
Uttar Pradesh,Lalitpur,1265157
Uttar Pradesh,Lucknow,1264733
Uttar Pradesh,Maharajganj,1264434
Uttar Pradesh,Mahoba,1264359
Uttar Pradesh,Mainpuri,1264292
Uttar Pradesh,Mathura,1263364
Uttar Pradesh,Mau,1263311
Uttar Pradesh,Meerut,1263214
Uttar Pradesh,Mirzapur,1262995
Uttar Pradesh,Moradabad,1262801
Uttar Pradesh,Muzaffarnagar,1262332
Uttar Pradesh,Pilibhit,1259686
Uttar Pradesh,Pratapgarh,1259337
Uttar Pradesh,Raebareli,1259064
Uttar Pradesh,Rampur,1258599
Uttar Pradesh,Saharanpur,1257806
Uttar Pradesh,Sambhal,1257540
Uttar Pradesh,Sitapur,1255969
Uttar Pradesh,Sultanpur,1255491
Uttar Pradesh,Unnao,1253747
Uttar Pradesh,Varanasi,1253405
Uttarakhand,Almora,1278974
Uttarakhand,Bageshwar,1277907
Uttarakhand,Champawat,1274824
Uttarakhand,Haridwar,1270351
Uttarakhand,Pithoragarh,1259503
Uttarakhand,Rudraprayag,1258003
Uttarakhand,Uttarkashi,1253628
West Bengal,Bankura,1277264
West Bengal,Jalpaiguri,1269388
West Bengal,Jhargram,1268990
West Bengal,Kalimpong,1268403
West Bengal,Kolkata,1275004
West Bengal,Murshidabad,1262412
Chandigarh,Chandigarh,1274746
Jammu and Kashmir,Anantnag,1278667
Jammu and Kashmir,Doda,1272476
