state_name,matched_state,state_score,district_name,matched_district,district_score,geoname_id
Gujarat,Gujarat,100.0,Gandhinagar,Gandhinagar,100.0,1271716
Gujarat,Gujarat,100.0,Gir Somnath,Gir Somnath,100.0,11875531
Gujarat,Gujarat,100.0,Kutch,Kutch,100.0,1268731
Gujarat,Gujarat,100.0,Mahisagar,Mahisagar,100.0,11875528
Gujarat,Gujarat,100.0,Mehsana,Mehsana,100.0,1264390
Gujarat,Gujarat,100.0,Narmada,Narmada,100.0,9165869
Gujarat,Gujarat,100.0,Navsari,Navsari,100.0,9072825
Gujarat,Gujarat,100.0,Panchmahal,Panchmahal,100.0,1260571
Gujarat,Gujarat,100.0,Sabarkantha,Sabarkantha,100.0,1257922
Gujarat,Gujarat,100.0,Tapi,Tapi,100.0,9072813
Gujarat,Gujarat,100.0,Vav-Tharad,,0.0,
Haryana,Haryana,100.0,Gurugram,Gurugram,100.0,1270644
Haryana,Haryana,100.0,Kurukshetra,Kurukshetra,100.0,1265468
Himachal Pradesh,Himachal Pradesh,100.0,Kangra,Kangra,100.0,1268085
Himachal Pradesh,Himachal Pradesh,100.0,Kinnaur,Kinnaur,100.0,1266519
Himachal Pradesh,Himachal Pradesh,100.0,Kullu,Kullu,100.0,1265710
Himachal Pradesh,Himachal Pradesh,100.0,Lahaul and Spiti,Lahul and Spiti,96.7741935483871,1265292
Himachal Pradesh,Himachal Pradesh,100.0,Sirmaur,Sirmaur,100.0,1256073
Jharkhand,Jharkhand,100.0,Deoghar,Deoghar,100.0,9035761
Jharkhand,Jharkhand,100.0,East Singhbhum,East Singhbhum,100.0,7701426
Jharkhand,Jharkhand,100.0,Hazaribag,Hazaribag,100.0,1270165
Jharkhand,Jharkhand,100.0,Koderma,Koderma,100.0,9747958
Jharkhand,Jharkhand,100.0,Pakur,Pakur,100.0,7701604
Jharkhand,Jharkhand,100.0,Palamu,Palamu,100.0,1260783
Jharkhand,Jharkhand,100.0,Seraikela-Kharsawan,Saraikela-Kharsawan,94.73684210526316,7701601
Jharkhand,Jharkhand,100.0,West Singhbhum,West Singhbhum,100.0,1256163
Karnataka,Karnataka,100.0,Ballari,Ballari,100.0,1276510
Karnataka,Karnataka,100.0,Belagavi,Belagavi,100.0,1276534
Karnataka,Karnataka,100.0,Bangalore Rural,Bangalore Rural,100.0,1277332
Karnataka,Karnataka,100.0,Bangalore Urban,Bangalore Urban,100.0,1277331
Karnataka,Karnataka,100.0,Chamarajanagar,Chamarajanagar,100.0,8224050
Karnataka,Karnataka,100.0,Chikkaballapur,Chikkaballapur,100.0,8224036
Karnataka,Karnataka,100.0,Dakshina Kannada,Dakshina Kannada,100.0,1273664
Karnataka,Karnataka,100.0,Davanagere,Davanagere,100.0,7646984
Karnataka,Karnataka,100.0,Gadaga,Gadag,90.9090909090909,7909847
Karnataka,Karnataka,100.0,Kalaburagi,Kalaburagi,100.0,1270753
Karnataka,Karnataka,100.0,Kodagu,Kodagu,100.0,1266426
Karnataka,Karnataka,100.0,Ramanagara,Ramanagara,100.0,8224306
Karnataka,Karnataka,100.0,Tumakuru,Tumakuru,100.0,1254090
Karnataka,Karnataka,100.0,Udupi,Udupi,100.0,8224051
Karnataka,Karnataka,100.0,Uttara Kannada,Uttara Kannada,100.0,1253630
Karnataka,Karnataka,100.0,Vijayanagara,Vijayanagar,95.65217391304348,12680266
Kerala,Kerala,100.0,Alappuzha,Alappuzha,100.0,1278986
Kerala,Kerala,100.0,Palakkad,Palakkad,100.0,7289568
Kerala,Kerala,100.0,Thrissur,Thrissur,100.0,8133543
Kerala,Kerala,100.0,Wayanad,Wayanad,100.0,6951502
Madhya Pradesh,Madhya Pradesh,100.0,Agar Malwa,Agar Malwa,100.0,11875535
Madhya Pradesh,Madhya Pradesh,100.0,Alirajpur,Alirajpur,100.0,9747929
Madhya Pradesh,Madhya Pradesh,100.0,Harda,Harda,100.0,8740099
Madhya Pradesh,Madhya Pradesh,100.0,Katni,Katni,100.0,8740806
Madhya Pradesh,Madhya Pradesh,100.0,Narsinghpur,Narsinghpur,100.0,1261755
Madhya Pradesh,Madhya Pradesh,100.0,Neemuch,Neemuch,100.0,8739995
Madhya Pradesh,Madhya Pradesh,100.0,Niwari,Niwari,100.0,12572552
Madhya Pradesh,Madhya Pradesh,100.0,Sagar,Sagar,100.0,1257852
Maharashtra,Maharashtra,100.0,Ahmednagar,Ahmednagar,100.0,7626534
Maharashtra,Maharashtra,100.0,Buldhana,Buldhana,100.0,1275118
Maharashtra,Maharashtra,100.0,Chandrapur,Chandrapur,100.0,9747944
Maharashtra,Maharashtra,100.0,Dhule,Dhule,100.0,1272692
Maharashtra,Maharashtra,100.0,Gadchiroli,Gadchiroli,100.0,7626536
Maharashtra,Maharashtra,100.0,Mumbai City,Mumbai City District,90.0,1270836
Maharashtra,Maharashtra,100.0,Mumbai Suburban,Mumbai Suburban,100.0,1270836
Maharashtra,Maharashtra,100.0,Raigad,Raigad,100.0,7626540
Maharashtra,Maharashtra,100.0,Sindhudurg,Sindhudurg,100.0,7626539
Manipur,Manipur,100.0,Chandel,Chandel,100.0,9747955
Manipur,Manipur,100.0,Imphal East,Imphal East,100.0,9747976
Manipur,Manipur,100.0,Imphal West,Imphal West,100.0,9747977
Manipur,Manipur,100.0,Jiribam,Jiribam,100.0,11875583
Manipur,Manipur,100.0,Kamjong,Kamjong,100.0,11875587
Manipur,Manipur,100.0,Kangpokpi,Kangpokpi,100.0,11875584
Manipur,Manipur,100.0,Noney,Noney,100.0,11875585
Manipur,Manipur,100.0,Pherzawl,Pherzawl,100.0,11875590
Manipur,Manipur,100.0,Senapati,Senapati,100.0,8740334
Manipur,Manipur,100.0,Tamenglong,Tamenglong,100.0,8740332
Manipur,Manipur,100.0,Tengnoupal,Tengnoupal,100.0,11875595
Manipur,Manipur,100.0,Ukhrul,Ukhrul,100.0,8740338
Meghalaya,Meghalaya,100.0,East Garo Hills,East Garo Hills,100.0,1271512
Meghalaya,Meghalaya,100.0,East Jaintia Hills,East Jaintia Hills,100.0,11875537
Meghalaya,Meghalaya,100.0,East Khasi Hills,East Khasi Hills,100.0,1266857
Meghalaya,Meghalaya,100.0,Eastern West Khasi Hills,Eastern West Khasi Hills,100.0,12680245
Meghalaya,Meghalaya,100.0,North Garo Hills,North Garo Hills,100.0,11875538
Meghalaya,Meghalaya,100.0,Ri Bhoi,Ri Bhoi,100.0,7701507
Meghalaya,Meghalaya,100.0,South Garo Hills,South Garo Hills,100.0,9748015
Meghalaya,Meghalaya,100.0,South West Garo Hills,South West Garo Hills,100.0,11875540
Meghalaya,Meghalaya,100.0,South West Khasi Hills,South West Khasi Hills,100.0,11875539
Meghalaya,Meghalaya,100.0,West Garo Hills,West Garo Hills,100.0,8986228
Meghalaya,Meghalaya,100.0,West Jaintia Hills,West Jaintia Hills,100.0,1269523
Meghalaya,Meghalaya,100.0,West Khasi Hills,West Khasi Hills,100.0,7701511
Mizoram,Mizoram,100.0,Champhai,Champhai,100.0,9166019
Mizoram,Mizoram,100.0,Hnahthial,Hnahthial,100.0,12572557
